gene_name	gene_id	log2FoldChange	pvalue	padj
RPS4X	ENSG00000198034	2.118342	1.250378e-85	2.721031e-82
C6orf48	ENSG00000204387	2.794937	1.347587e-82	2.19943e-79
GAS5	ENSG00000234741	2.509306	1.003031e-57	7.703866e-55
ZFAS1	ENSG00000177410	1.92097	3.379079e-48	1.575737e-45
EPB41L4A-AS1	ENSG00000224032	2.290595	1.265563e-45	5.330468e-43
SNHG1	ENSG00000255717	1.967098	8.567438e-43	3.196144e-40
GNB2L1	ENSG00000204628	1.541568	6.468997e-40	2.111642e-37
ARL10	ENSG00000175414	2.579664	8.757571e-38	2.598809e-35
RP11-641D5.1	ENSG00000213178	3.090939	2.626216e-36	6.594327e-34
EEF1G	ENSG00000254772	1.370539	3.126661e-35	7.702796e-33
ZKSCAN1	ENSG00000106261	2.228029	4.125737e-34	9.7945e-32
RSL1D1	ENSG00000171490	1.77631	5.323777e-33	1.158543e-30
NPIPA7	ENSG00000214967	1.807213	6.343267e-33	1.357771e-30
ATF4	ENSG00000128272	2.054903	3.57879e-31	7.08004e-29
UBA52	ENSG00000221983	1.021342	5.483135e-31	1.068557e-28
RPL4P4	ENSG00000229638	6.226622	1.064956e-29	1.931269e-27
KLF6	ENSG00000067082	1.637717	6.429296e-26	1.011414e-23
RPS18	ENSG00000231500	1.224011	9.351647e-25	1.37196e-22
RP4-612B15.2	ENSG00000230721	4.008437	1.486995e-24	2.157299e-22
RPL38	ENSG00000172809	1.164659	3.756883e-24	5.390508e-22
RPL11	ENSG00000142676	1.124494	9.437948e-24	1.325068e-21
GLTSCR2	ENSG00000105373	1.660179	1.283002e-23	1.782144e-21
RPS15	ENSG00000115268	1.043443	5.229139e-23	7.187038e-21
HEG1	ENSG00000173706	2.001743	2.277095e-22	3.065157e-20
KDM1A	ENSG00000004487	1.594508	3.21024e-21	3.992009e-19
TPT1	ENSG00000133112	1.128667	2.02586e-20	2.383032e-18
NEAT1	ENSG00000245532	1.496391	5.799716e-20	6.584947e-18
CCNB1IP1	ENSG00000100814	1.216981	1.501583e-19	1.66154e-17
RP11-110I1.6	ENSG00000255114	4.519403	3.70819e-19	3.904665e-17
ACTG1	ENSG00000184009	1.012463	2.587618e-18	2.598964e-16
TUG1	ENSG00000253352	1.256536	1.658273e-17	1.514131e-15
ANKRD36	ENSG00000135976	2.665205	2.044439e-17	1.853767e-15
RP11-20O24.4	ENSG00000244716	2.09178	3.587283e-17	3.208161e-15
RPL10A	ENSG00000198755	1.242655	1.006571e-16	8.646581e-15
